month,ratio_quantity.26A,ratio_quantity.27D,ratio_quantity.36J,ratio_quantity.36L,ratio_quantity.42D,ratio_quantity.52R,ratio_quantity.70F,ratio_quantity.71E,ratio_quantity.72Q,ratio_quantity.78H,ratio_quantity.84H,ratio_quantity.91Q,ratio_quantity.92A,ratio_quantity.92G,ratio_quantity.93C
1585699200,556.6110951782017,440.7762024853287,349.61352634501026,180.4275351290436,424.5867936944073,440.0485731468843,339.83724088998866,616.4832503302943,223.58729337057028,401.3255307316652,681.3150684058157,411.0858906971549,248.14477293195316,398.85362323469235,182.6782071392019
1588291200,529.9056133569038,419.8298230330363,331.70457266145684,173.55092940891652,400.7934333631542,422.82221535120925,326.59987569488726,593.0665949678923,223.62414861609997,383.00352892624863,638.4519780166718,399.01617126112734,231.4931803615026,366.98745759216206,183.68796362519814
1590969600,541.208685646462,438.3521103685134,338.5739925301885,176.67002146917898,416.50654311956424,440.1264039168052,340.8303142866581,614.7362819288386,232.2591120553413,411.6267549993032,681.9449885684045,413.76908556842363,243.53962939382518,382.79551002250287,189.62339952239213
1593561600,561.8183537531693,451.70940006753307,360.34843380555003,188.64969914851144,439.0937382545681,457.86173677922403,352.88334217076874,642.3813797110358,239.49432488918694,426.5770495681134,711.6311870178057,429.2795528519222,251.25041051027,395.0126687845893,196.62294496799637
1596240000,523.8733564446112,415.6208773057761,325.9425135547131,170.67759389762244,398.4708025753929,410.51185988030704,320.0699434026363,573.2216725461135,218.43457701228806,380.4832675385484,628.7828999948849,385.26904130789256,223.31420964345043,360.3430369487153,178.19571373190485
1598918400,557.3376771330254,443.0709512700138,345.1807003281224,185.69931194923984,422.3100472676222,447.3103682968996,340.0876938927694,625.2075610878281,239.19314246783725,401.957028777074,696.0781111632496,416.59016752723903,243.73115962773775,383.3830941285616,191.27581848699072
1601510400,564.3468714191914,452.34491933315473,356.71511386541687,187.3275517089286,435.98861190055635,452.86880966091877,353.4968361065683,628.1625201151667,241.49992450867254,415.7722737999531,686.763847861659,424.6864640287458,249.7592476008311,393.29462824128694,200.10799009680838
1604188800,536.2342230846436,433.84747781021815,338.16208213356305,179.6401373163058,413.0547598225386,427.6341988464452,337.32462341575655,600.7826949462915,230.35224130011812,399.28505412659536,664.9818929717567,407.5670382505816,237.52203697565946,377.39550290957766,185.85115870263434
1606780800,584.4791841661537,470.999358874229,368.8405324555684,192.37912568716698,449.92615773932016,468.15681342022447,367.0105098616762,656.0686070781329,245.92139568356362,423.7059967814158,711.743975630909,442.5594156815375,259.83829118654353,408.87667869914475,203.78733684285967
1609459200,546.7454861467379,439.5739560115911,339.54348335677446,182.39902660377797,428.8081812977307,443.9353553339448,340.99709625779997,613.405402291911,228.9311061632403,397.1482839354256,655.1123144805458,407.0361353306943,241.98843543916652,371.52330498291667,192.54138229649547
1612137600,511.5198255179575,412.0262495253092,324.2551681750997,171.29566614748484,393.37295676425293,412.28437746390733,321.75295774083173,569.7560146210586,217.5606926841468,372.89188724393455,632.7869805445107,389.23016537377316,224.23696695088984,358.514702800062,180.03334568919885
